month,order_date,identifier,order_num,sub_order_num,quantity,order_status,manifesttime,sup_name,state,pin,reseller_state,reseller_pin,end_customer_state,end_customer_pin,gstin,hsn_code,gst_amount,gst_rate,meesho_price,net_commission,commission_gst,adj,shipping_charges_total,gst,taxable_shipping,shipping_gst_18_percent,meesho_price_plus_shipping_charges_total,tcs_taxable_amount,end_customer_state_new,financial_year,month_number,supplier_id
2023-06-01,2023-06-05,8icvx,478432343980,478432343980_1,1,Delivered,2023-06-05,AFLOAT,Gujarat,383315,Telangana,null,Telangana,505304,24ABVFA4063H1ZA,540710,17.48000000000000,5.00,367,0.000000000000000000,0.00000000000000,88,0,1.050000,83.8095238095238,15.085714285714285,367,349.5238095238095,TELANGANA,2023,6,188451
2023-06-01,2023-06-02,8icvx,253618439712,253618439712_1,1,Delivered,2023-06-03,AFLOAT,Gujarat,383315,Telangana,null,Telangana,505451,24ABVFA4063H1ZA,540710,10.44000000000000,5.00,219,0.000000000000000000,0.00000000000000,0,79,1.050000,75.2380952380952,13.542857142857143,298,283.8095238095238,TELANGANA,2023,6,188451
2023-06-01,2023-06-06,8icvx,528700829152,528700829152_1,1,Delivered,2023-06-06,AFLOAT,Gujarat,383315,Tamil Nadu,637208,Tamil Nadu,637208,24ABVFA4063H1ZA,500720,13.76000000000000,5.00,289,0.000000000000000000,0.00000000000000,88,0,1.050000,83.8095238095238,15.085714285714285,289,275.2380952380952,TAMIL NADU,2023,6,188451
2023-06-01,2023-06-07,8icvx,114514871479,114514871479_1,1,Delivered,2023-06-07,AFLOAT,Gujarat,383315,Andhra Pradesh,null,Andhra Pradesh,522601,24ABVFA4063H1ZA,540710,10.44000000000000,5.00,219,0.000000000000000000,0.00000000000000,0,79,1.050000,75.2380952380952,13.542857142857143,298,283.8095238095238,ANDHRA PRADESH,2023,6,188451
2023-06-01,2023-06-25,8icvx,330434263433,330434263433_1,1,rto,2023-06-25,AFLOAT,Gujarat,383315,Karnataka,561208,Karnataka,561208,24ABVFA4063H1ZA,500720,13.72000000000000,5.00,288,0.000000000000000000,0.00000000000000,66,0,1.050000,62.8571428571429,11.314285714285713,288,274.2857142857143,KARNATAKA,2023,6,188451
2023-06-01,2023-06-02,8icvx,238081271598,238081271598_1,1,Delivered,2023-06-03,AFLOAT,Gujarat,383315,Assam,782426,Assam,782426,24ABVFA4063H1ZA,540710,10.44000000000000,5.00,219,0.000000000000000000,0.00000000000000,0,72,1.050000,68.5714285714286,12.342857142857142,291,277.1428571428571,ASSAM,2023,6,188451
2023-06-01,2023-06-29,8icvx,283107824416,283107824416_1,1,Shipped,2023-06-29,AFLOAT,Gujarat,383315,Tamil Nadu,600002,Tamil Nadu,600002,24ABVFA4063H1ZA,500720,14.10000000000000,5.00,296,0.000000000000000000,0.00000000000000,65,0,1.050000,61.9047619047619,11.142857142857142,296,281.9047619047619,TAMIL NADU,2023,6,188451
2023-06-01,2023-06-29,8icvx,713477651039,713477651039_1,1,Shipped,2023-06-29,AFLOAT,Gujarat,383315,Uttar Pradesh,277123,Uttar Pradesh,277123,24ABVFA4063H1ZA,540710,10.30000000000000,5.00,216,0.000000000000000000,0.00000000000000,0,80,1.050000,76.1904761904762,13.714285714285714,296,281.9047619047619,UTTAR PRADESH,2023,6,188451
2023-06-01,2023-06-27,8icvx,866799110582,866799110582_1,1,Shipped,2023-06-27,AFLOAT,Gujarat,383315,Andhra Pradesh,null,Andhra Pradesh,516105,24ABVFA4063H1ZA,500720,14.20000000000000,5.00,298,0.000000000000000000,0.00000000000000,66,0,1.050000,62.8571428571429,11.314285714285713,298,283.8095238095238,ANDHRA PRADESH,2023,6,188451
2023-06-01,2023-06-07,8icvx,134164939242,134164939242_1,1,rto,2023-06-07,AFLOAT,Gujarat,383315,Andhra Pradesh,523155,Andhra Pradesh,523155,24ABVFA4063H1ZA,500720,12.96000000000000,5.00,272,0.000000000000000000,0.00000000000000,64,0,1.050000,60.9523809523810,10.971428571428570,272,259.0476190476190,ANDHRA PRADESH,2023,6,188451
2023-06-01,2023-06-30,8icvx,831291611857,831291611857_1,1,Shipped,2023-06-30,AFLOAT,Gujarat,383315,Uttar Pradesh,245304,Uttar Pradesh,245304,24ABVFA4063H1ZA,540710,13.86000000000000,5.00,291,0.000000000000000000,0.00000000000000,70,0,1.050000,66.6666666666667,11.999999999999998,291,277.1428571428571,UTTAR PRADESH,2023,6,188451
2023-06-01,2023-06-12,8icvx,592272125068,592272125068_1,1,Delivered,2023-06-12,AFLOAT,Gujarat,383315,Assam,787057,Assam,787057,24ABVFA4063H1ZA,540710,10.38000000000000,5.00,218,0.000000000000000000,0.00000000000000,0,94,1.050000,89.5238095238095,16.114285714285714,312,297.1428571428571,ASSAM,2023,6,188451
2023-06-01,2023-06-06,8icvx,513620250306,513620250306_1,1,Delivered,2023-06-06,AFLOAT,Gujarat,383315,Tamil Nadu,null,Tamil Nadu,606115,24ABVFA4063H1ZA,500720,13.96000000000000,5.00,293,0.000000000000000000,0.00000000000000,88,0,1.050000,83.8095238095238,15.085714285714285,293,279.0476190476190,TAMIL NADU,2023,6,188451
2023-06-01,2023-06-25,8icvx,166022749244,166022749244_1,1,Delivered,2023-06-25,AFLOAT,Gujarat,383315,Kerala,691537,Kerala,691537,24ABVFA4063H1ZA,540710,13.96000000000000,5.00,293,0.000000000000000000,0.00000000000000,106,0,1.050000,100.9523809523810,18.171428571428570,293,279.0476190476190,KERALA,2023,6,188451
2023-06-01,2023-06-13,8icvx,858928950421,858928950421_1,1,rto,2023-06-13,AFLOAT,Gujarat,383315,Madhya Pradesh,452001,Madhya Pradesh,452001,24ABVFA4063H1ZA,500720,13.34000000000000,5.00,280,0.000000000000000000,0.00000000000000,69,0,1.050000,65.7142857142857,11.828571428571427,280,266.6666666666666,MADHYA PRADESH,2023,6,188451
2023-06-01,2023-06-30,8icvx,310754512055,310754512055_1,1,Shipped,2023-06-30,AFLOAT,Gujarat,383315,Andhra Pradesh,508211,Andhra Pradesh,508211,24ABVFA4063H1ZA,540710,9.58000000000000,5.00,201,0.000000000000000000,0.00000000000000,0,73,1.050000,69.5238095238095,12.514285714285712,274,260.9523809523810,TELANGANA,2023,6,188451
2023-06-01,2023-06-24,8icvx,274731031772,274731031772_1,1,Delivered,2023-06-24,AFLOAT,Gujarat,383315,Karnataka,560016,Karnataka,560036,24ABVFA4063H1ZA,500720,14.24000000000000,5.00,299,0.000000000000000000,0.00000000000000,66,0,1.050000,62.8571428571429,11.314285714285713,299,284.7619047619048,KARNATAKA,2023,6,188451
2023-06-01,2023-06-26,8icvx,862018527327,862018527327_1,1,Shipped,2023-06-26,AFLOAT,Gujarat,383315,Assam,null,Assam,785670,24ABVFA4063H1ZA,500720,13.72000000000000,5.00,288,0.000000000000000000,0.00000000000000,78,0,1.050000,74.2857142857143,13.371428571428570,288,274.2857142857143,ASSAM,2023,6,188451
2023-06-01,2023-06-01,8icvx,767894211397,767894211397_1,1,rto,2023-06-02,AFLOAT,Gujarat,383315,Puducherry,null,Puducherry,605004,24ABVFA4063H1ZA,540710,10.44000000000000,5.00,219,0.000000000000000000,0.00000000000000,0,79,1.050000,75.2380952380952,13.542857142857143,298,283.8095238095238,PONDICHERRY,2023,6,188451
2023-06-01,2023-06-22,8icvx,537918180763,537918180763_1,1,Delivered,2023-06-22,AFLOAT,Gujarat,383315,Tamil Nadu,null,Tamil Nadu,608001,24ABVFA4063H1ZA,540710,10.38000000000000,5.00,218,0.000000000000000000,0.00000000000000,0,73,1.050000,69.5238095238095,12.514285714285712,291,277.1428571428571,TAMIL NADU,2023,6,188451
2023-06-01,2023-06-05,8icvx,126840778839,126840778839_1,1,Delivered,2023-06-05,AFLOAT,Gujarat,383315,Tamil Nadu,641035,Tamil Nadu,641035,24ABVFA4063H1ZA,500720,13.96000000000000,5.00,293,0.000000000000000000,0.00000000000000,88,0,1.050000,83.8095238095238,15.085714285714285,293,279.0476190476190,TAMIL NADU,2023,6,188451
2023-06-01,2023-06-13,8icvx,391732912850,391732912850_1,1,rto,2023-06-13,AFLOAT,Gujarat,383315,Andhra Pradesh,null,Andhra Pradesh,518401,24ABVFA4063H1ZA,5407,29.30000000000000,5.00,615,0.000000000000000000,0.00000000000000,125,0,1.050000,119.0476190476190,21.428571428571427,615,585.7142857142857,ANDHRA PRADESH,2023,6,188451
2023-06-01,2023-06-10,8icvx,186154771562,186154771562_1,1,Delivered,2023-06-11,AFLOAT,Gujarat,383315,Madhya Pradesh,null,Madhya Pradesh,481663,24ABVFA4063H1ZA,540710,13.30000000000000,5.00,279,0.000000000000000000,0.00000000000000,64,0,1.050000,60.9523809523810,10.971428571428570,279,265.7142857142857,MADHYA PRADESH,2023,6,188451
2023-06-01,2023-06-01,8icvx,554811806048,554811806048_1,1,Delivered,2023-06-01,AFLOAT,Gujarat,383315,Bihar,null,Bihar,848201,24ABVFA4063H1ZA,540710,13.34000000000000,5.00,280,0.000000000000000000,0.00000000000000,63,0,1.050000,60.0000000000000,10.799999999999999,280,266.6666666666666,BIHAR,2023,6,188451
2023-06-01,2023-06-13,8icvx,545483868160,545483868160_1,1,Delivered,2023-06-13,AFLOAT,Gujarat,383315,Haryana,124001,Haryana,124001,24ABVFA4063H1ZA,540710,14.30000000000000,5.00,300,0.000000000000000000,0.00000000000000,76,0,1.050000,72.3809523809524,13.028571428571428,300,285.7142857142857,HARYANA,2023,6,188451
2023-06-01,2023-06-07,8icvx,116201333294,116201333294_1,1,Delivered,2023-06-07,AFLOAT,Gujarat,383315,Delhi,110042,Delhi,110042,24ABVFA4063H1ZA,540710,10.44000000000000,5.00,219,0.000000000000000000,0.00000000000000,0,79,1.050000,75.2380952380952,13.542857142857143,298,283.8095238095238,DELHI,2023,6,188451
2023-06-01,2023-06-27,8icvx,721135213211,721135213211_1,1,rto,2023-06-27,AFLOAT,Gujarat,383315,Andhra Pradesh,null,Andhra Pradesh,524137,24ABVFA4063H1ZA,500720,15.86000000000000,5.00,333,0.000000000000000000,0.00000000000000,104,0,1.050000,99.0476190476190,17.828571428571426,333,317.1428571428571,ANDHRA PRADESH,2023,6,188451
2023-06-01,2023-06-06,8icvx,222244076983,222244076983_1,1,Delivered,2023-06-07,AFLOAT,Gujarat,383315,Andhra Pradesh,517501,Andhra Pradesh,517501,24ABVFA4063H1ZA,540710,10.44000000000000,5.00,219,0.000000000000000000,0.00000000000000,0,79,1.050000,75.2380952380952,13.542857142857143,298,283.8095238095238,ANDHRA PRADESH,2023,6,188451
2023-06-01,2023-06-16,8icvx,456877234533,456877234533_1,1,Delivered,2023-06-17,AFLOAT,Gujarat,383315,Telangana,503122,Telangana,503122,24ABVFA4063H1ZA,540710,10.38000000000000,5.00,218,0.000000000000000000,0.00000000000000,0,80,1.050000,76.1904761904762,13.714285714285714,298,283.8095238095238,TELANGANA,2023,6,188451
2023-06-01,2023-06-19,8icvx,992400640807,992400640807_1,1,Delivered,2023-06-19,AFLOAT,Gujarat,383315,Maharashtra,null,Maharashtra,400612,24ABVFA4063H1ZA,540710,10.38000000000000,5.00,218,0.000000000000000000,0.00000000000000,0,73,1.050000,69.5238095238095,12.514285714285712,291,277.1428571428571,MAHARASHTRA,2023,6,188451
2023-06-01,2023-06-17,8icvx,973285833624,973285833624_1,1,rto,2023-06-17,AFLOAT,Gujarat,383315,Tamil Nadu,636204,Tamil Nadu,636204,24ABVFA4063H1ZA,500720,13.96000000000000,5.00,293,0.000000000000000000,0.00000000000000,89,0,1.050000,84.7619047619048,15.257142857142856,293,279.0476190476190,TAMIL NADU,2023,6,188451
2023-06-01,2023-06-15,8icvx,800305478410,800305478410_1,1,rto,2023-06-15,AFLOAT,Gujarat,383315,Telangana,502108,Telangana,502107,24ABVFA4063H1ZA,500720,13.06000000000000,5.00,274,0.000000000000000000,0.00000000000000,63,0,1.050000,60.0000000000000,10.799999999999999,274,260.9523809523810,TELANGANA,2023,6,188451
2023-06-01,2023-06-25,8icvx,138880616611,138880616611_1,1,Delivered,2023-06-25,AFLOAT,Gujarat,383315,Telangana,506223,Telangana,506223,24ABVFA4063H1ZA,540710,10.30000000000000,5.00,216,0.000000000000000000,0.00000000000000,0,80,1.050000,76.1904761904762,13.714285714285714,296,281.9047619047619,TELANGANA,2023,6,188451
2023-06-01,2023-06-24,8icvx,940603129390,940603129390_1,1,Delivered,2023-06-24,AFLOAT,Gujarat,383315,Karnataka,null,Karnataka,563135,24ABVFA4063H1ZA,500720,13.06000000000000,5.00,274,0.000000000000000000,0.00000000000000,64,0,1.050000,60.9523809523810,10.971428571428570,274,260.9523809523810,KARNATAKA,2023,6,188451
2023-06-01,2023-06-18,8icvx,837326802606,837326802606_1,1,Delivered,2023-06-18,AFLOAT,Gujarat,383315,Tamil Nadu,600094,Tamil Nadu,600029,24ABVFA4063H1ZA,500720,14.24000000000000,5.00,299,0.000000000000000000,0.00000000000000,65,0,1.050000,61.9047619047619,11.142857142857142,299,284.7619047619048,TAMIL NADU,2023,6,188451
2023-06-01,2023-06-24,8icvx,289303898050,289303898050_1,1,Return,2023-06-24,AFLOAT,Gujarat,383315,Telangana,502296,Telangana,502313,24ABVFA4063H1ZA,540710,15.24000000000000,5.00,320,0.000000000000000000,0.00000000000000,82,0,1.050000,78.0952380952381,14.057142857142855,320,304.7619047619048,TELANGANA,2023,6,188451
2023-06-01,2023-06-29,8icvx,843012197283,843012197283_1,1,Shipped,2023-06-29,AFLOAT,Gujarat,383315,Tamil Nadu,null,Tamil Nadu,614707,24ABVFA4063H1ZA,500720,13.00000000000000,5.00,273,0.000000000000000000,0.00000000000000,63,0,1.050000,60.0000000000000,10.799999999999999,273,260.0000000000000,TAMIL NADU,2023,6,188451
2023-06-01,2023-06-05,8icvx,651902008720,651902008720_1,1,Delivered,2023-06-06,AFLOAT,Gujarat,383315,Delhi,null,Delhi,110034,24ABVFA4063H1ZA,540710,10.44000000000000,5.00,219,0.000000000000000000,0.00000000000000,0,79,1.050000,75.2380952380952,13.542857142857143,298,283.8095238095238,DELHI,2023,6,188451
2023-06-01,2023-06-13,8icvx,891883624913,891883624913_1,1,rto,2023-06-13,AFLOAT,Gujarat,383315,Andhra Pradesh,518360,Andhra Pradesh,518360,24ABVFA4063H1ZA,540710,10.38000000000000,5.00,218,0.000000000000000000,0.00000000000000,0,80,1.050000,62.8571428571429,11.314285714285713,284,270.4761904761905,ANDHRA PRADESH,2023,6,188451
2023-06-01,2023-06-25,8icvx,177136146763,177136146763_1,1,Shipped,2023-06-25,AFLOAT,Gujarat,383315,Tamil Nadu,604001,Tamil Nadu,604307,24ABVFA4063H1ZA,540710,15.38000000000000,5.00,323,0.000000000000000000,0.00000000000000,104,0,1.050000,99.0476190476190,17.828571428571426,323,307.6190476190476,TAMIL NADU,2023,6,188451
2023-06-01,2023-06-30,8icvx,398866638976,398866638976_1,1,Shipped,2023-06-30,AFLOAT,Gujarat,383315,Gujarat,null,Gujarat,380008,24ABVFA4063H1ZA,540710,9.48000000000000,5.00,199,0.000000000000000000,0.00000000000000,0,71,1.050000,67.6190476190476,12.171428571428570,270,257.1428571428571,GUJARAT,2023,6,188451
2023-06-01,2023-06-24,8icvx,574751741750,574751741750_1,1,Delivered,2023-06-24,AFLOAT,Gujarat,383315,Tamil Nadu,null,Tamil Nadu,601102,24ABVFA4063H1ZA,540710,13.52000000000000,5.00,284,0.000000000000000000,0.00000000000000,65,0,1.050000,61.9047619047619,11.142857142857142,284,270.4761904761905,TAMIL NADU,2023,6,188451
2023-06-01,2023-06-04,8icvx,591537178001,591537178001_1,1,rto,2023-06-05,AFLOAT,Gujarat,383315,Tamil Nadu,null,Tamil Nadu,600085,24ABVFA4063H1ZA,500720,12.52000000000000,5.00,263,0.000000000000000000,0.00000000000000,62,0,1.050000,59.0476190476190,10.628571428571428,263,250.4761904761905,TAMIL NADU,2023,6,188451
2023-06-01,2023-06-04,8icvx,872619499049,872619499049_1,1,Delivered,2023-06-05,AFLOAT,Gujarat,383315,Tamil Nadu,631203,Tamil Nadu,631203,24ABVFA4063H1ZA,500720,12.52000000000000,5.00,263,0.000000000000000000,0.00000000000000,62,0,1.050000,59.0476190476190,10.628571428571428,263,250.4761904761905,TAMIL NADU,2023,6,188451
2023-06-01,2023-06-02,8icvx,677868017133,677868017133_1,1,Delivered,2023-06-03,AFLOAT,Gujarat,383315,Tamil Nadu,null,Tamil Nadu,637407,24ABVFA4063H1ZA,500720,13.00000000000000,5.00,273,0.000000000000000000,0.00000000000000,62,0,1.050000,59.0476190476190,10.628571428571428,273,260.0000000000000,TAMIL NADU,2023,6,188451
2023-06-01,2023-06-20,8icvx,189475401100,189475401100_1,1,Delivered,2023-06-20,AFLOAT,Gujarat,383315,Tamil Nadu,null,Tamil Nadu,607001,24ABVFA4063H1ZA,500720,13.76000000000000,5.00,289,0.000000000000000000,0.00000000000000,66,0,1.050000,62.8571428571429,11.314285714285713,289,275.2380952380952,TAMIL NADU,2023,6,188451
2023-06-01,2023-06-14,8icvx,171330475968,171330475968_1,1,Delivered,2023-06-14,AFLOAT,Gujarat,383315,Andhra Pradesh,713101,Andhra Pradesh,713101,24ABVFA4063H1ZA,500720,13.06000000000000,5.00,274,0.000000000000000000,0.00000000000000,63,0,1.050000,60.0000000000000,10.799999999999999,274,260.9523809523810,WEST BENGAL,2023,6,188451
