month,order_date,identifier,order_num,sub_order_num,order_status,manifesttime,sup_name,state,pin,reseller_state,reseller_pin,gstin,hsn_code,gst_amount,gst_rate,end_customer_pin,end_customer_state,meesho_price,net_commission,commission_gst,adj,shipping_charges_total,quantity,penalty,cancel_return_date,gst,taxable_shipping,shipping_gst_18_percent,meesho_price_plus_shipping_charges_total,tcs_taxable_amount,end_customer_state_new,financial_year,month_number,supplier_id
2023-05-01,2023-05-23,8icvx,265017004769,265017004769_1,Return,2023-05-23,AFLOAT,Gujarat,383315,Punjab,null,24ABVFA4063H1ZA,540710,10.44000000000000,5.00,151201,Punjab,219,0.000000000000000000,0.00000000000000,0,65,1,0.0,2023-06-03,1.050000,61.9047619047619,11.142857142857142,284,270.4761904761905,PUNJAB,2023,6,188451
2023-05-01,2023-05-27,8icvx,503030652509,503030652509_1,Return,2023-05-27,AFLOAT,Gujarat,383315,Telangana,null,24ABVFA4063H1ZA,540710,15.72000000000000,5.00,500087,Telangana,330,0.000000000000000000,0.00000000000000,110,0,1,0.0,2023-06-04,1.050000,104.7619047619048,18.857142857142858,330,314.2857142857143,TELANGANA,2023,6,188451
null,2023-06-11,8icvx,591577030217,591577030217_1,Cancelled,2023-06-12,AFLOAT,Gujarat,383315,Tamil Nadu,null,24ABVFA4063H1ZA,500720,13.00000000000000,5.00,621718,Tamil Nadu,273,0.000000000000000000,0.00000000000000,62,0,1,null,2023-06-13,1.050000,59.0476190476190,10.628571428571428,273,260.0000000000000,TAMIL NADU,2023,6,188451
2023-05-01,2023-05-28,8icvx,197748656031,197748656031_1,rto,2023-05-29,AFLOAT,Gujarat,383315,Others,600067,24ABVFA4063H1ZA,540710,10.44000000000000,5.00,600067,Others,219,0.000000000000000000,0.00000000000000,0,79,1,0.0,2023-06-06,1.050000,75.2380952380952,13.542857142857143,298,283.8095238095238,TAMIL NADU,2023,6,188451
2023-06-01,2023-06-01,8icvx,913194416547,913194416547_1,rto,2023-06-01,AFLOAT,Gujarat,383315,Uttar Pradesh,242406,24ABVFA4063H1ZA,540710,10.44000000000000,5.00,242001,Uttar Pradesh,219,0.000000000000000000,0.00000000000000,0,72,1,0.0,2023-06-09,1.050000,68.5714285714286,12.342857142857142,291,277.1428571428571,UTTAR PRADESH,2023,6,188451
2023-05-01,2023-05-25,8icvx,725351475700,725351475700_1,rto,2023-05-25,AFLOAT,Gujarat,383315,Andhra Pradesh,496001,24ABVFA4063H1ZA,540710,10.44000000000000,5.00,496445,Andhra Pradesh,219,0.000000000000000000,0.00000000000000,0,79,1,0.0,2023-06-03,1.050000,75.2380952380952,13.542857142857143,298,283.8095238095238,CHHATTISGARH,2023,6,188451
2023-06-01,2023-06-07,8icvx,476733306155,476733306155_1,rto,2023-06-07,AFLOAT,Gujarat,383315,Telangana,null,24ABVFA4063H1ZA,500720,13.96000000000000,5.00,508001,Telangana,293,0.000000000000000000,0.00000000000000,88,0,1,0.0,2023-06-14,1.050000,83.8095238095238,15.085714285714285,293,279.0476190476190,TELANGANA,2023,6,188451
2023-05-01,2023-05-21,8icvx,308665975779,308665975779_1,rto,2023-05-21,AFLOAT,Gujarat,383315,Assam,null,24ABVFA4063H1ZA,5407,15.90000000000000,5.00,788163,Assam,334,0.000000000000000000,0.00000000000000,118,0,1,0.0,2023-06-02,1.050000,112.3809523809524,20.228571428571428,334,318.0952380952381,ASSAM,2023,6,188451
2023-05-01,2023-05-25,8icvx,698402498355,698402498355_1,rto,2023-05-25,AFLOAT,Gujarat,383315,Odisha,754004,24ABVFA4063H1ZA,540710,10.44000000000000,5.00,754004,Odisha,219,0.000000000000000000,0.00000000000000,0,65,1,0.0,2023-06-05,1.050000,61.9047619047619,11.142857142857142,284,270.4761904761905,ODISHA,2023,6,188451
2023-06-01,2023-06-18,8icvx,355200265099,355200265099_1,rto,2023-06-18,AFLOAT,Gujarat,383315,Andhra Pradesh,523332,24ABVFA4063H1ZA,500720,13.96000000000000,5.00,523332,Andhra Pradesh,293,0.000000000000000000,0.00000000000000,89,0,1,0.0,2023-06-28,1.050000,84.7619047619048,15.257142857142856,293,279.0476190476190,ANDHRA PRADESH,2023,6,188451
2023-06-01,2023-06-02,8icvx,938786752351,938786752351_1,Return,2023-06-03,AFLOAT,Gujarat,383315,Telangana,500016,24ABVFA4063H1ZA,5407,52.48000000000000,5.00,500016,Telangana,1102,0.000000000000000000,0.00000000000000,106,0,1,0.0,2023-06-10,1.050000,80.0000000000000,14.399999999999999,1080,1028.5714285714284,TELANGANA,2023,6,188451
2023-05-01,2023-05-29,8icvx,577929836161,577929836161_1,Return,2023-05-29,AFLOAT,Gujarat,383315,Maharashtra,null,24ABVFA4063H1ZA,5407,15.20000000000000,5.00,400092,Maharashtra,319,0.000000000000000000,0.00000000000000,104,0,1,0.0,2023-06-03,1.050000,99.0476190476190,17.828571428571426,319,303.8095238095238,MAHARASHTRA,2023,6,188451
