As Per Meesho,State Name As Per GSTR-1
ANDAMAN AND NICOBAR ISLANDS,35-Andaman & Nicobar Islands
Andhra Pradesh,37-Andhra Pradesh
Arunachal Pradesh,12-Arunachal Pradesh
Assam,18-Assam
Bihar,10-Bihar
Chandigarh,04-Chandigarh
Chhattisgarh,22-Chhattisgarh
THE DADRA AND NAGAR HAVELI AND DAMAN AND DIU,26-Dadra & Nagar Haveli & Daman & Diu
Delhi,07-Delhi
Goa,30-Goa
Gujarat,24-Gujarat
Haryana,06-Haryana
Himachal Pradesh,02-Himachal Pradesh
JAMMU AND KASHMIR,01-Jammu & Kashmir
Jharkhand,20-Jharkhand
Karnataka,29-Karnataka
Kerala,32-Kerala
LAKSHADWEEP,31-Lakshdweep
Madhya Pradesh,23-Madhya Pradesh
Maharashtra,27-Maharashtra
Manipur,14-Manipur
Meghalaya,17-Meghalaya
Mizoram,15-Mizoram
Nagaland,13-Nagaland
Odisha,21-Odisha
Pondicherry,34-Pondicherry
Punjab,03-Punjab
Rajasthan,08-Rajasthan
Sikkim,11-Sikkim
Tamil Nadu,33-Tamil Nadu
TELANGANA,36-Telengana
Tripura,16-Tripura
Uttar Pradesh,09-Uttar Pradesh
Uttarakhand,05-Uttarakhand
West Bengal,19-West Bengal
 Other Territory,98 - Other Territory
Ladakh,38-Ladakh
